-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void splitKreduce_kernel<32, 16, int, __half, __half...         0.00%       0.000us         0.00%       0.000us       0.000us     288.000us         0.02%     288.000us       2.000us           0 b           0 b           0 b           0 b           144            --  
void splitKreduce_kernel<32, 16, int, __half, __half...         0.00%       0.000us         0.00%       0.000us       0.000us     255.000us         0.01%     255.000us       1.062us           0 b           0 b           0 b           0 b           240            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     242.000us         0.01%     242.000us      10.083us           0 b           0 b           0 b           0 b            24            --  
void cutlass::Kernel<cutlass_75_wmma_tensorop_f16_s1...         0.00%       0.000us         0.00%       0.000us       0.000us     239.000us         0.01%     239.000us       3.319us           0 b           0 b           0 b           0 b            72            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     164.000us         0.01%     164.000us       3.417us           0 b           0 b           0 b           0 b            48            --  
                                  cudaStreamIsCapturing         0.03%     841.000us         0.03%     841.000us       0.787us     150.000us         0.01%     150.000us       0.140us           0 b           0 b           0 b           0 b          1068            --  
void (anonymous namespace)::softmax_warp_forward<c10...         0.00%       0.000us         0.00%       0.000us       0.000us     149.000us         0.01%     149.000us       2.069us           0 b           0 b           0 b           0 b            72            --  
                                             cudaMalloc         0.00%       8.000us         0.00%       8.000us       0.003us     107.000us         0.01%     107.000us       0.046us           0 b           0 b           0 b           0 b          2304            --  
                               aten::linalg_vector_norm         0.02%     455.000us         0.02%     641.000us      26.708us      75.000us         0.00%      75.000us       3.125us           0 b           0 b      12.00 Kb      12.00 Kb            24            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      75.000us         0.00%      75.000us       3.125us           0 b           0 b           0 b           0 b            24            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      72.000us         0.00%      72.000us       1.000us           0 b           0 b           0 b           0 b            72            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      72.000us         0.00%      72.000us       1.500us           0 b           0 b           0 b           0 b            48            --  
                                              aten::pow         0.04%       1.123ms         0.05%       1.616ms      22.444us      72.000us         0.00%      72.000us       1.000us           0 b           0 b      36.00 Kb      36.00 Kb            72            --  
                                     aten::index_select         0.01%     431.000us         0.03%       1.013ms      56.278us      65.000us         0.00%      65.000us       3.611us           0 b           0 b       4.37 Mb           0 b            18            --  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      65.000us         0.00%      65.000us       3.611us           0 b           0 b           0 b           0 b            18            --  
void gemv2T_kernel_val<int, int, __half, __half, __h...         0.00%       0.000us         0.00%       0.000us       0.000us      48.000us         0.00%      48.000us       2.000us           0 b           0 b           0 b           0 b            24            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.000us         0.00%      48.000us       1.000us           0 b           0 b           0 b           0 b            48            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.000us         0.00%      48.000us       1.000us           0 b           0 b           0 b           0 b            48            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      48.000us         0.00%      48.000us       2.000us           0 b           0 b           0 b           0 b            24            --  
