-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
             tvmgen_default_fused_nn_softmax_2_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       3.352ms         0.21%       3.352ms     111.733us           0 b           0 b            30  
             tvmgen_default_fused_nn_softmax_2_kernel_3         0.00%       0.000us         0.00%       0.000us       0.000us       3.311ms         0.21%       3.311ms     110.367us           0 b           0 b            30  
tvmgen_default_fused_reshape_squeeze_add_split_multi...         0.00%       0.000us         0.00%       0.000us       0.000us       3.279ms         0.20%       3.279ms     109.300us           0 b           0 b            30  
tvmgen_default_fused_nn_conv2d_add_expand_dims_expan...         0.00%       0.000us         0.00%       0.000us       0.000us       3.139ms         0.19%       3.139ms     523.167us           0 b           0 b             6  
                     tvmgen_default_fused_mean_3_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.110ms         0.19%       3.110ms      47.121us           0 b           0 b            66  
                 tvmgen_default_fused_variance_3_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.058ms         0.19%       3.058ms      46.333us           0 b           0 b            66  
       tvmgen_default_fused_nn_conv2d_add_add_12_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.661ms         0.17%       2.661ms     443.500us           0 b           0 b             6  
       tvmgen_default_fused_nn_conv2d_add_add_14_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.419ms         0.15%       2.419ms     403.167us           0 b           0 b             6  
            tvmgen_default_fused_nn_conv2d_add_2_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.279ms         0.14%       2.279ms     379.833us           0 b           0 b             6  
                tvmgen_default_fused_variance_17_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.257ms         0.14%       2.257ms     188.083us           0 b           0 b            12  
                    tvmgen_default_fused_mean_17_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.256ms         0.14%       2.256ms     188.000us           0 b           0 b            12  
tvmgen_default_fused_reshape_squeeze_reshape_transpo...         0.00%       0.000us         0.00%       0.000us       0.000us       2.116ms         0.13%       2.116ms      17.633us           0 b           0 b           120  
       tvmgen_default_fused_nn_conv2d_add_add_15_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.851ms         0.11%       1.851ms     308.500us           0 b           0 b             6  
           tvmgen_default_fused_nn_conv2d_add_14_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.809ms         0.11%       1.809ms     301.500us           0 b           0 b             6  
             tvmgen_default_fused_nn_softmax_1_kernel_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.740ms         0.11%       1.740ms      58.000us           0 b           0 b            30  
               tvmgen_default_fused_nn_softmax_1_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.705ms         0.11%       1.705ms      56.833us           0 b           0 b            30  
         tvmgen_default_fused_nn_batch_matmul_29_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.663ms         0.10%       1.663ms     277.167us           0 b           0 b             6  
                tvmgen_default_fused_variance_16_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.647ms         0.10%       1.647ms     274.500us           0 b           0 b             6  
                    tvmgen_default_fused_mean_16_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.643ms         0.10%       1.643ms     273.833us           0 b           0 b             6  
tvmgen_default_fused_reshape_squeeze_add_split_multi...         0.00%       0.000us         0.00%       0.000us       0.000us       1.626ms         0.10%       1.626ms      54.200us           0 b           0 b            30  
                     tvmgen_default_fused_mean_6_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.569ms         0.10%       1.569ms      23.773us           0 b           0 b            66  
                 tvmgen_default_fused_variance_6_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.552ms         0.10%       1.552ms      23.515us           0 b           0 b            66  
                 tvmgen_default_fused_multiply_2_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.541ms         0.10%       1.541ms      21.403us           0 b           0 b            72  
    tvmgen_default_fused_reshape_squeeze_add_add_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.525ms         0.09%       1.525ms      25.417us           0 b           0 b            60  
tvmgen_default_fused_subtract_add_rsqrt_multiply_mul...         0.00%       0.000us         0.00%       0.000us       0.000us       1.457ms         0.09%       1.457ms      16.189us           0 b           0 b            90  
tvmgen_default_fused_reshape_squeeze_add_add_reshape...         0.00%       0.000us         0.00%       0.000us       0.000us       1.454ms         0.09%       1.454ms      48.467us           0 b           0 b            30  
         tvmgen_default_fused_nn_batch_matmul_17_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.436ms         0.09%       1.436ms      47.867us           0 b           0 b            30  
tvmgen_default_fused_reshape_squeeze_multiply_add_1_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.219ms         0.08%       1.219ms      40.633us           0 b           0 b            30  
         tvmgen_default_fused_nn_batch_matmul_13_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.210ms         0.08%       1.210ms      40.333us           0 b           0 b            30  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us       1.060ms         0.07%       1.060ms      22.083us           0 b           0 b            48  
tvmgen_default_fused_reshape_transpose_reshape_broad...         0.00%       0.000us         0.00%       0.000us       0.000us       1.044ms         0.06%       1.044ms      17.400us           0 b           0 b            60  
             tvmgen_default_fused_nn_softmax_1_kernel_3         0.00%       0.000us         0.00%       0.000us       0.000us     935.000us         0.06%     935.000us      31.167us           0 b           0 b            30  
        tvmgen_default_fused_nn_conv2d_add_add_5_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     925.000us         0.06%     925.000us     154.167us           0 b           0 b             6  
         tvmgen_default_fused_nn_batch_matmul_18_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     904.000us         0.06%     904.000us      30.133us           0 b           0 b            30  
             tvmgen_default_fused_nn_softmax_1_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us     877.000us         0.05%     877.000us      29.233us           0 b           0 b            30  
tvmgen_default_fused_reshape_squeeze_add_add_reshape...         0.00%       0.000us         0.00%       0.000us       0.000us     824.000us         0.05%     824.000us      27.467us           0 b           0 b            30  
                tvmgen_default_fused_variance_13_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     809.000us         0.05%     809.000us     134.833us           0 b           0 b             6  
                    tvmgen_default_fused_mean_13_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     806.000us         0.05%     806.000us     134.333us           0 b           0 b             6  
             tvmgen_default_fused_nn_softmax_3_kernel_2         0.00%       0.000us         0.00%       0.000us       0.000us     791.000us         0.05%     791.000us      26.367us           0 b           0 b            30  
          tvmgen_default_fused_transpose_reshape_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     787.000us         0.05%     787.000us      26.233us           0 b           0 b            30  
               tvmgen_default_fused_nn_softmax_3_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     781.000us         0.05%     781.000us      26.033us           0 b           0 b            30  
             tvmgen_default_fused_nn_softmax_5_kernel_2         0.00%       0.000us         0.00%       0.000us       0.000us     762.000us         0.05%     762.000us      25.400us           0 b           0 b            30  
               tvmgen_default_fused_nn_softmax_5_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     759.000us         0.05%     759.000us      25.300us           0 b           0 b            30  
tvmgen_default_fused_reshape_squeeze_add_split_multi...         0.00%       0.000us         0.00%       0.000us       0.000us     754.000us         0.05%     754.000us      25.133us           0 b           0 b            30  
            tvmgen_default_fused_nn_conv2d_add_9_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     730.000us         0.05%     730.000us     121.667us           0 b           0 b             6  
        tvmgen_default_fused_nn_conv2d_add_add_9_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     728.000us         0.05%     728.000us     121.333us           0 b           0 b             6  
tvmgen_default_fused_reshape_squeeze_reshape_transpo...         0.00%       0.000us         0.00%       0.000us       0.000us     719.000us         0.04%     719.000us       5.992us           0 b           0 b           120  
             tvmgen_default_fused_nn_dense_add_2_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     716.000us         0.04%     716.000us       9.179us           0 b           0 b            78  
tvmgen_default_fused_reshape_squeeze_add_add_1_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     678.000us         0.04%     678.000us      11.300us           0 b           0 b            60  
        tvmgen_default_fused_nn_conv2d_add_add_2_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     647.000us         0.04%     647.000us     107.833us           0 b           0 b             6  
tvmgen_default_fused_subtract_add_rsqrt_multiply_mul...         0.00%       0.000us         0.00%       0.000us       0.000us     631.000us         0.04%     631.000us       7.011us           0 b           0 b            90  
                     tvmgen_default_fused_mean_1_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     604.000us         0.04%     604.000us       6.711us           0 b           0 b            90  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us     555.000us         0.03%     555.000us      46.250us           0 b           0 b            12  
         tvmgen_default_fused_nn_batch_matmul_27_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     548.000us         0.03%     548.000us      91.333us           0 b           0 b             6  
                    tvmgen_default_fused_mean_14_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     546.000us         0.03%     546.000us      91.000us           0 b           0 b             6  
                    tvmgen_default_fused_mean_11_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     543.000us         0.03%     543.000us      45.250us           0 b           0 b            12  
                tvmgen_default_fused_variance_11_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     543.000us         0.03%     543.000us      45.250us           0 b           0 b            12  
                tvmgen_default_fused_variance_14_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     543.000us         0.03%     543.000us      90.500us           0 b           0 b             6  
                     tvmgen_default_fused_mean_8_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     504.000us         0.03%     504.000us       7.000us           0 b           0 b            72  
                 tvmgen_default_fused_variance_8_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     503.000us         0.03%     503.000us       6.986us           0 b           0 b            72  
tvmgen_default_fused_reshape_squeeze_reshape_transpo...         0.00%       0.000us         0.00%       0.000us       0.000us     480.000us         0.03%     480.000us       4.000us           0 b           0 b           120  
         tvmgen_default_fused_nn_batch_matmul_21_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     466.000us         0.03%     466.000us      15.533us           0 b           0 b            30  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us     461.000us         0.03%     461.000us      15.367us           0 b           0 b            30  
tvmgen_default_fused_subtract_add_rsqrt_multiply_mul...         0.00%       0.000us         0.00%       0.000us       0.000us     451.000us         0.03%     451.000us       5.011us           0 b           0 b            90  
        tvmgen_default_fused_transpose_reshape_1_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     436.000us         0.03%     436.000us      14.533us           0 b           0 b            30  
