-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void splitKreduce_kernel<32, 16, int, float, float, ...         0.00%       0.000us         0.00%       0.000us       0.000us      72.000us         0.02%      72.000us       4.000us           0 b           0 b           0 b           0 b            18            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.01%      24.000us       2.000us           0 b           0 b           0 b           0 b            12            --  
void cudnn::winograd::generateWinogradTilesKernel<0,...         0.00%       0.000us         0.00%       0.000us       0.000us      17.000us         0.00%      17.000us       2.833us           0 b           0 b           0 b           0 b             6            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       1.000us           0 b           0 b           0 b           0 b            12            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       2.000us           0 b           0 b           0 b           0 b             6            --  
                                              aten::cos         0.02%      87.000us         0.03%     138.000us      23.000us      12.000us         0.00%      12.000us       2.000us           0 b           0 b       6.00 Kb       6.00 Kb             6            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       2.000us           0 b           0 b           0 b           0 b             6            --  
                                              aten::sin         0.02%      79.000us         0.03%     127.000us      21.167us      11.000us         0.00%      11.000us       1.833us           0 b           0 b       6.00 Kb       6.00 Kb             6            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.00%      11.000us       1.833us           0 b           0 b           0 b           0 b             6            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b           0 b           0 b             6            --  
                                           aten::arange         0.02%     112.000us         0.10%     487.000us      40.583us       6.000us         0.00%      12.000us       1.000us           0 b           0 b      12.00 Kb           0 b            12            --  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b           0 b           0 b             6            --  
                                              aten::exp         0.02%      80.000us         0.03%     133.000us      22.167us       6.000us         0.00%       6.000us       1.000us           0 b           0 b       6.00 Kb       6.00 Kb             6            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b           0 b           0 b             6            --  
                                          ProfilerStep*        24.32%     116.837ms       100.00%     480.498ms      80.083ms       0.000us         0.00%     450.314ms      75.052ms           0 b      -3.13 Kb           0 b     -13.72 Gb             6            --  
                                           aten::detach         0.02%      97.000us         0.02%     116.000us      19.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                                 detach         0.00%      19.000us         0.00%      19.000us       3.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                               aten::to         0.20%     962.000us         0.57%       2.730ms      12.639us       0.000us         0.00%      18.000us       0.083us          48 b           0 b       6.00 Kb         512 b           216            --  
                                         aten::_to_copy         0.21%       1.019ms         0.38%       1.810ms     100.556us       0.000us         0.00%      18.000us       1.000us          40 b          -8 b       6.00 Kb           0 b            18            --  
                                    aten::empty_strided         0.02%     120.000us         0.02%     120.000us       6.667us       0.000us         0.00%       0.000us       0.000us          48 b          48 b       6.00 Kb       6.00 Kb            18            --  
                                        cudaMemcpyAsync         0.08%     396.000us         0.08%     396.000us      33.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                  cudaStreamSynchronize         0.01%      55.000us         0.01%      55.000us       4.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                             aten::item         0.00%      16.000us         0.01%      33.000us       5.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                              aten::_local_scalar_dense         0.00%      17.000us         0.00%      17.000us       2.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                            aten::empty         3.92%      18.815ms         3.92%      18.815ms       5.132us       0.000us         0.00%       0.000us       0.000us       2.43 Kb       2.43 Kb       2.86 Gb       2.86 Gb          3666            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                          aten::detach_         0.00%      12.000us         0.00%      12.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                                detach_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                           aten::expand         0.01%      41.000us         0.01%      47.000us       7.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                       aten::as_strided         0.28%       1.348ms         0.28%       1.348ms       0.373us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3612            --  
                                          aten::resize_         0.01%      32.000us         0.01%      32.000us       5.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.00 Kb       6.00 Kb             6            --  
                                       cudaLaunchKernel        10.00%      48.044ms        10.00%      48.044ms       7.194us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6678            --  
